Name,Address,Number of Reviews,Hashtag,Phone,Pricing,Cuisine Type,Open Hours
"The Admiralty, Trafalgar Square","66 Trafalgar Square, London WC2N 5DS England","1,561","#1,353",+44 20 7930 0066,$$ - $$$,"[' Bar', ' British', ' Pub']",11:00 AM - 10:00 PM
The Summerhouse,"60 Blomfield Road, London W9 2PA England",755,"#1,354",+44 20 7286 6752,$$ - $$$,"[' Seafood', ' European', ' British']",10:00 AM - 11:30 PM
Escudo de Cuba,"20 Stoke Newington Road, London N16 7XN England",156,"#1,357",+44 20 7249 9794,$$ - $$$,"[' Latin', ' Cuban', ' South American']",12:00 AM - 12:00 PM
Cigalon,"115 Chancery Lane Holborn, London WC2A 1PP England",317,"#1,358",+44 20 7242 8373,$$ - $$$,"[' French', ' Mediterranean', ' European']",12:00 PM - 2:00 PM
Nipa Thai Restaurant,"Lancaster Terrace 1st Flr, Royal Lancaster London Hotel, London W2 2TY England","1,006",#234,+44 20 7551 6000,$$$$,"[' Asian', ' Thai', ' Vegetarian Friendly']",5:00 PM - 10:30 PM
Pizza Pilgrims,"32-34 Buckingham Palace Road, London SW1W 0RE England",126,"#1,358",+44 20 3963 5800,$,"[' Pizza', ' Vegetarian Friendly', ' Vegan Options']",11:30 AM - 9:30 PM
The Montagu Kitchen,"30 Portman Square Hyatt Regency London - The Churchill, London W1H 7BH England",382,"#1,359",+44 20 7299 2037,$$$$,"[' British', ' Grill', ' Contemporary']",7:00 AM - 10:30 PM
Lost Souls Pizza Camden,"245 Eversholt Street, London NW1 1BA England",109,"#1,361",+44 20 7388 2101,$$ - $$$,"[' Pizza', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
"Coyote Ugly Saloon, London Piccadilly","30 Shaftesbury Avenue, London W1D 7EP England",46,#407,"30 Shaftesbury Avenue, London W1D 7EP England",$$ - $$$,[' American'],12:00 PM - 3:00 AM
Zero 75,"201A Belsize Road, London NW6 4AA England",58,"#1,365",+44 7772 309942,$,"[' Bar', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
Kolam South Indian Restaurant,"60 Upper Tooting Road Tooting, London SW17 7PB England",137,"#1,364",+44 20 8672 8553,$$ - $$$,"[' Indian', ' Asian', ' Vegan Options']",6:00 PM - 10:30 PM
The Griffin Pub,"Brook Road South, Brentford, Hounslow TW8 0NP England",164,#5,+44 20 8127 1203,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 5:00 PM
Rice Republic,"161 Streatham High Road, London SW16 6EG England",145,"#1,373",+44 20 8677 7133,$$ - $$$,"[' Chinese', ' Asian', ' Cantonese']",6:00 PM - 10:30 PM
Coqfighter Kings Cross,"3 Caledonian Road, London N1 9Dx England",5,"#14,291","There aren't enough food, service, value or atmosphere ratings for Coqfighter Kings Cross yet. Be one of the first to write a review!",$$ - $$$,[' American'],12:00 PM - 9:00 PM
Manjal Restaurant,"Drewery House, 213 Marsh Wall First Floor, London E14 9FJ England",378,"#1,367",+44 20 7538 1140,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Ember Yard,"60 Berwick Street, London W1F 8SU England",773,"#1,369",+44 20 7439 8057,$$ - $$$,"[' Mediterranean', ' European', ' Spanish']",12:00 PM - 10:00 PM
Cockneys Pie & Mash,"314 Portobello Road, London W10 5RU England",134,"#1,375","314 Portobello Road, London W10 5RU England",$,[' British'],10:00 AM - 6:30 PM
Gymkhana,"42 Albemarle Street, London W1S 4JH England","1,801","#1,370",+44 20 3011 5900,$$$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 2:45 PM
"Drink, Shop & Do","9 Caledonian Road Kings Cross, London N1 9DX England",574,"#1,374",+44 20 7278 4335,$$ - $$$,"[' Cafe', ' Healthy', ' Vegetarian Friendly']",10:30 AM - 6:00 PM
Bardo St James's,"4 Suffolk Place, Haymarket, London SW1Y 4HX England",40,"#5,803",+44 20 3828 2487,$$$$,"[' Italian', ' Bar', ' Mediterranean']",5:00 PM - 12:00 AM
Tredwells,"4a Upper St Martin's Lane Covent Garden, London WC2H 9NY England","1,934","#1,372",+44 20 3764 0840,$$ - $$$,"[' British', ' Contemporary', ' Vegetarian Friendly']",12:00 PM - 3:30 PM
Hawksmoor Air Street,"5A Air Street, London W1J 0AD England","3,508","#1,373",+44 20 7406 3980,$$$$,"[' Steakhouse', ' Seafood', ' British']",11:45 AM - 9:00 PM
Meridian Lounge,"The 02 1 Waterview Drive Ground Floor, London SE10 0TW England",109,"#1,381",+44 20 8463 6909,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 6:00 PM
FishWorks,"89 Marylebone High Street, London W1U 4QW England",838,"#1,377",+44 20 7935 9796,$$ - $$$,"[' Seafood', ' European', ' British']",12:00 PM - 10:30 PM
O Cantinho de Portugal,"135-137 Stockwell Road, London SW9 9TN England",281,"#1,379",+44 20 7924 0218,$$ - $$$,"[' Seafood', ' Healthy', ' Portuguese']",10:00 AM - 12:00 AM
Colosseo Restaurant,"79 Victoria Street, London SW1H 0HW England",731,"#1,360",+44 20 7222 3871,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:30 PM
The Wet Fish Cafe,"242 West End Lane West Hampstead, London NW6 1LG England",445,"#1,382",+44 20 7443 9222,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",10:00 AM - 10:00 PM
Prezzo Italian Restaurant London King's Cross,"Unit M4, Mezzanine Level, Kings Cross Station Shared Service The Yard Goods Way, London N1C 4AH England",822,"#1,379",+44 20 8154 3402,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",10:00 AM - 10:00 PM
Kibako London,"110 Great Portland Street, London W1W 6PQ England",4,"#9,901",+44 20 7637 4198,Pricing Not Found,Cuisine Type Not Found,12:00 PM - 2:00 PM
Tulse Hill Hotel,"150 Norwood Road, London SE24 9AY England",307,"#1,383",+44 20 8671 7499,$$ - $$$,"[' Bar', ' European', ' British']",8:00 AM - 10:00 PM
Chai Wu,"87-135 Brompton Road Knightsbridge, 5th Floor, London SW1X 7XL England",224,"#1,384",+44 20 3819 8888,$$$$,"[' Chinese', ' Asian', ' Cantonese']",11:30 AM - 6:00 PM
Bill's Clink Street,"Clink Street Victor Wharf, London SE1 9DW England",871,"#1,343",+ Add phone number,$$ - $$$,"[' British', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
The Avocado Show London Mayfair,"6 Princes Street, London W1B 2LG England",89,"#3,543",+44 7594 561103,$$ - $$$,"[' International', ' European', ' Contemporary']",9:00 AM - 8:00 PM
Tas Restaurant Borough,"Beckett House 72 Borough High Street, London SE1 1XF England",553,"#1,387",+44 20 7403 7277,$$ - $$$,"[' Mediterranean', ' Turkish', ' Grill']",12:00 PM - 10:30 PM
Apero Restaurant & Bar,"2 Harrington Road The Ampersand Hotel, London SW7 3ER England",398,"#1,389",+44 20 7591 4410,$$ - $$$,"[' Mediterranean', ' European', ' Vegetarian Friendly']",7:00 AM - 9:30 PM
Manuka kitchen,"510 Fulham Road Fulham, London SW6 5NJ England",267,"#1,389",+44 20 7731 0864,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",9:30 AM - 3:00 PM
Ugly Dumpling,"1 Newburgh Street Carnaby, London W1F 7RB England",240,"#1,390",+44 20 7287 5336,$$ - $$$,"[' International', ' Fusion', ' Vegetarian Friendly']",12:00 PM - 8:00 PM
The Caviar Bar,"4 Medici Courtyard Hanover Square, Mayfair, London W1S 1BR England",8,"#6,238", See all hours,Seafood,"[' Sushi', ' Wine Bar']",11:00 AM - 4:00 PM
Cinnamon Kitchen,"4 Arches Ln, Nine Elms Battersea Power Station, London SW11 8AB England",370,"#1,392",+44 20 3995 5075,$$ - $$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Curry Leaves,"103 Falcon Road Clapham Junction, London SW11 2PF England",195,"#1,394",+44 20 7228 0010,$,"[' Indian', ' Asian', ' Nepali']",5:00 PM - 11:00 PM
Shackfuyu,"14A Old Compton Street, London W1D 4TJ England",505,"#1,435",+44 20 3019 3492,$$ - $$$,"[' Japanese', ' Asian', ' Vegetarian Friendly']",12:00 PM - 9:00 PM
Sushi Atelier,"114 Great Portland Street, London W1W 6PH England",162,"#1,396",+44 20 7636 4455,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 3:00 PM
Paternoster Chop House,"35 Old Bailey, London EC4M 7AU England","2,329","#1,395",+44 20 7029 9400,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",12:00 PM - 3:00 PM
Franco Manca St. Paul's,"2 St. Paul's Churchyard, London EC4M 8AP England",217,"#1,371",+44 20 3026 7981,$$ - $$$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 9:00 PM
Bistrotheque,"23-27 Wadeson Street, London E2 9DR England",487,"#1,397",+44 20 8983 7900,$$ - $$$,"[' European', ' British', ' Vegetarian Friendly']",11:00 AM - 12:00 AM
Eggbreak,"30 Uxbridge Street, London W8 7TA England",469,"#1,398",+44 20 3535 8300,$$ - $$$,"[' Cafe', ' British', ' Vegetarian Friendly']",8:00 AM - 3:00 PM
Paro Indian - Covent Garden & Strand,Sun,118,"#1,332","21 Wellington Street, London WC2E 7RQ England",$$ - $$$,"[' Indian', ' Asian', ' Fusion']",11:45 AM - 10:00 PM
Cinnamon Culture,"95-97 High St Chislehurst, Bromley BR7 5AG England",384,#5,+44 20 8289 0322,$$$$,"[' Indian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 3:30 PM
Beaufort House,"354 Kings Road Chelsea, London SW3 5UZ England",467,"#1,400",+44 20 7352 2828,$$ - $$$,"[' Bar', ' European', ' British']",9:00 AM - 1:30 AM
Queen of Sheba,"12 Fortess Road, London NW5 2EU England",174,"#1,403",+44 20 7284 3947,$$ - $$$,"[' African', ' Ethiopian', ' Vegetarian Friendly']",10:00 AM - 10:30 PM
Meze Mangal,"245 Lewisham Way, London SE4 1XF England",591,"#1,404",+44 20 8694 8099,$$ - $$$,"[' Mediterranean', ' Barbecue', ' Turkish']",12:00 PM - 1:00 AM
Kings Chinese Takeaway,"119 Junction Road, London N19 5PX England",35,"#14,378",+44 20 7272 1138,$,"[' Chinese', ' Asian', ' Street Food']",5:00 PM - 11:30 PM
Japes,"15 Nelson Road, London SE10 9JB England",82,"#1,405",+44 7761 432153,$$ - $$$,"[' American', ' Pizza', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Tandoor At The Chambers,"188 Queens Road, Buckhurst Hill IG9 5BD England",179,#2,+44 20 3592 5372,$$ - $$$,"[' Indian', ' Asian', ' Vegetarian Friendly']",12:00 PM - 9:30 PM
Casereccio,"Gunnersbury Lane, London W3 8HR England",239,"#1,405",+44 20 8993 3966,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
Smoke & Salt,"115 Tooting High Street, London SW17 0SY England",126,"#1,350",+44 7421 327556,$$ - $$$,"[' European', ' British', ' Contemporary']",11:00 AM - 4:00 PM
Benihana Chelsea,"77 Kings Road Chelsea, London SW3 4NX England",636,"#2,590",+44 20 7376 7799,$$$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 10:00 PM
Meridionale,"311 New Kings Road, London SW6 4RF England",130,"#1,413",+44 20 3105 1699,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 10:00 PM
On the Bab,"305 Old Street, London EC1V 9LA England",563,"#1,412",+44 20 7683 0361,$$ - $$$,"[' Asian', ' Korean', ' Vegetarian Friendly']",11:30 AM - 10:00 PM
Leong's Legend,"39 Gerrard Street Chinatown, London W1D 5QD England",441,"#1,412",+44 20 7434 0899,$$ - $$$,"[' Chinese', ' Asian', ' Taiwanese']",12:00 PM - 9:00 PM
"The Churchill Arms, Kensington","119 Kensington Church Street, London W8 7LN England","2,014","#1,388",+44 20 7727 4242,$$ - $$$,"[' Bar', ' Asian', ' Thai']",12:00 PM - 10:30 PM
Bar + Block Steakhouse London Aldgate,"66 Alie Street, London E1 8PX England",296,"#1,402",+44 20 8049 0888,$$ - $$$,"[' Steakhouse', ' Bar', ' British']",6:30 AM - 11:00 PM
Great Queen Street,"32 Great Queen Street Covent Garden, London WC2B 5AA England",541,"#1,416",+44 20 7242 0622,$$ - $$$,"[' British', ' Gastropub', ' Vegetarian Friendly']",Open Hours Not Found
The Mitre,"40 Holland Park Avenue, London W11 3QY England",550,"#1,431",+44 20 7727 6332,$$ - $$$,"[' Bar', ' European', ' British']",11:00 AM - 10:30 PM
Paladar,"4-5 London Road, London SE1 6JZ England","1,168",#122,+44 20 7186 5555,$$ - $$$,"[' Latin', ' Contemporary', ' Fusion']",12:30 PM - 8:00 PM
The Market Porter,"9 Stoney Street, London SE1 9AA England",573,"#1,406",+44 20 7407 2495,$$ - $$$,"[' International', ' British', ' Gastropub']",12:00 PM - 10:30 PM
Comptoir Libanais Gloucester Road,"77A Gloucester Road, London SW7 4SS England",308,"#1,423",+44 20 3355 0856,$$ - $$$,"[' Lebanese', ' Vegetarian Friendly', ' Vegan Options']",8:00 AM - 11:00 PM
HealthyWealthy,"10 Brecknock Road, London N7 0DD England",73,"#1,425",+44 20 7700 0777,$,"[' Indian', ' Asian', ' Healthy']",11:00 AM - 9:00 PM
Berners Tavern,"10 Berners Street, London W1T 3NP England","2,447","#1,409",+44 20 7908 7979,$$$$,"[' European', ' British', ' Vegetarian Friendly']",7:00 AM - 10:00 AM
Alfie's Bar Locale,"125-127 Bethnal Green Road, London E2 7DG England",12,#209,+44 7526 023109,$$ - $$$,"[' Italian', ' Mediterranean', ' Fusion']",12:00 PM - 8:00 PM
El Vaquero Whetstone,"1105 High Road Whetstone, London N20 0PT England",371,"#1,424",+44 20 8445 1882,$$ - $$$,"[' Brazilian', ' Barbecue', ' Argentinean']",12:00 PM - 11:00 PM
The Chelsea Cellar,"9 Park Walk, London SW10 0AJ England",110,"#1,427",+44 20 7351 4933,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",6:00 PM - 11:00 PM
Pret A Manger,"72 Russell Square, London WC1B 5BA England",315,"#1,428",+44 20 7932 5374,$,"[' Cafe', ' Fast Food', ' Soups']",7:00 AM - 8:00 PM
Taste of Raj,"9 Royal Parade Blackheath, London SE3 0TL England",313,"#1,429",+44 20 8244 2823,$$ - $$$,"[' Indian', ' Asian', ' Balti']",12:00 PM - 11:59 AM
Mockitchen,"The Arches, Villiers St Villiers Street, London WC2N 6NG England",252,"#1,448",+44 20 7930 8789,$$ - $$$,"[' Fusion', ' Vietnamese', ' Healthy']",11:00 AM - 10:00 PM
Il Primo Ristorante,"2B England’s Lane Belsize Park, London NW3 4TG England",150,"#1,431",+44 20 7586 4755,$$ - $$$,"[' Italian', ' Mediterranean', ' European']",12:00 PM - 3:30 PM
Neo,"14-17 Carthusian Street Barbican, London EC1M 6AD England",103,"#1,428",+44 20 7726 8925,$$ - $$$,"[' Bar', ' International', ' Wine Bar']",Open Hours Not Found
Carlton Lounge,"232-234 Kingsbury Road, London NW9 0BH England",162,"#4,880",+44 20 8205 3112,$$ - $$$,"[' Indian', ' International', ' Asian']",12:00 PM - 12:00 AM
GA KingsX - Bar & Kitchen,"100-110 Euston Road Hotel Pullman London St Pancras, London NW1 2AJ England",386,"#1,432",+44 20 7666 9192,$$ - $$$,"[' International', ' European', ' British']",7:00 AM - 12:00 AM
Frida Camden,"40 Camden High Street, London NW1 0JH England",172,"#1,434",+44 20 7383 3733,$$ - $$$,"[' Mexican', ' Dining bars', ' Vegetarian Friendly']",10:00 AM - 10:00 PM
Bar Bruno,"101 Wardour Street, London W1F 0UG England",261,"#1,432",+44 20 7734 3750,$,"[' Italian', ' Cafe', ' Vegetarian Friendly']",5:00 AM - 10:00 PM
Laksamania,"92 Newman Street, London W1T 3EZ England",250,"#1,438",+44 20 7637 9888,$$ - $$$,"[' Asian', ' Street Food', ' Malaysian']",12:00 PM - 3:00 PM
The Real Greek - Marylebone,"56 Paddington Street Marylebone, London W1U 4HY England",488,"#1,439",+44 20 7486 0466,$$ - $$$,"[' Mediterranean', ' Greek', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Zizzi - The O2,"The O2, Millennium Way Unit 10, Peninsula Square, London SE10 0UZ England",604,"#1,442",+44 20 3092 0014,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:00 AM - 10:00 PM
Mangos Indian & Bangladeshi cuisine,"362-364 Ballards Lane North Finchley, London N12 0EE England",111,"#1,444",+44 20 8446 5004,$$ - $$$,"[' Indian', ' Asian', ' Balti']",5:00 PM - 10:00 PM
Sea Containers Restaurant,"20 Upper Ground South Bank, London SE1 9PD England","2,018","#1,440",7:00 AM - 10:30 AM12:00 PM - 3:00 PM5:30 PM - 9:30 PM,$$$$,"[' Vegan Options', ' Gluten Free Options']",7:00 AM - 10:30 AM
Bardo St James's,"4 Suffolk Place, Haymarket, London SW1Y 4HX England",40,"#5,803",+44 20 3828 2487,$$$$,"[' Italian', ' Bar', ' Mediterranean']",5:00 PM - 12:00 AM
Steakout Stratford,"150 The Grove, London E15 1NS England",123,"#7,018",+44 20 8534 1727,$$ - $$$,"[' Steakhouse', ' Grill', ' Halal']",12:00 PM - 11:00 PM
Caboose,"Brick Lane Ely's Yard, London E1 6QR England",202,"#1,446",8:00 AM - 11:00 PM,$$ - $$$,"[' Barbecue', ' British']",8:00 AM - 11:00 PM
Punto Italian Restaurant,"838 Green Lanes, London N21 2RT England",233,"#1,445",+44 20 8360 0158,$$ - $$$,"[' Italian', ' Pizza', ' European']",12:30 PM - 10:30 PM
Paxtons Head,"153 Knightsbridge, London SW1X 7PA England",405,#40,+44 20 7589 6627,$$ - $$$,"[' Quick Bites', ' Bar', ' British']",10:00 AM - 11:00 PM
Pachamama East,"73 Great Eastern Street 19 Willow Street, London EC2A 3HR England",187,"#1,450",+44 20 7846 9595,$$ - $$$,"[' Peruvian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 4:30 PM
Alfie's Bar Locale,"125-127 Bethnal Green Road, London E2 7DG England",12,#209,+44 7526 023109,$$ - $$$,"[' Italian', ' Mediterranean', ' Fusion']",12:00 PM - 8:00 PM
ROKA Mayfair,"30 North Audley Street Mayfair, London W1K 6ZF England","1,099","#1,449",+44 20 7305 5644,$$$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 11:00 PM
Lahpet,"21 Slingsby Place St Martin's Courtyard, London WC2E 9AB England",102,"#1,355",+44 20 4580 1276,$$ - $$$,"[' Asian', ' Burmese', ' Vegetarian Friendly']",12:00 PM - 9:00 PM
Flesh & Buns Covent Garden,"41 Earlham Street, London WC2H 9LX England","1,258","#1,435",+44 20 3019 3492,$$ - $$$,"[' Japanese', ' Sushi', ' Asian']",12:00 PM - 9:00 PM
The Old Bell,"38 Kilburn High Road Kilburn, London NW6 5UA England",149,#39,+44 20 7372 4290,$,"[' Quick Bites', ' Bar', ' British']",10:00 AM - 11:00 PM
Busaba Westfield London,"Southern Terrace Shepherd's Bush, London W12 7GA England",881,"#1,455",+44 20 3249 1919,$$ - $$$,"[' Thai', ' Vegetarian Friendly', ' Vegan Options']",11:00 AM - 10:00 PM
Estiatorio Milos,"1 Regent Street St James', London SW1Y 4NR England",733,"#1,454",+44 20 7839 2080,$$$$,"[' Greek', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
Paladar,"4-5 London Road, London SE1 6JZ England","1,168",#122,+44 20 7186 5555,$$ - $$$,"[' Latin', ' Contemporary', ' Fusion']",12:30 PM - 8:00 PM
Marquess of Anglesey Pub,"39 Bow Street, London WC2E 7AU England",645,"#1,439",+44 20 7240 3216,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:30 PM
SUSHISAMBA Covent Garden,"35 The Market Building, London WC2E 8RF England",641,"#1,458",+44 20 3053 0000,$$$$,"[' Asian', ' Vegetarian Friendly', ' Gluten Free Options']",12:00 PM - 1:00 AM
,"“Fantastic tortilla, prawns and ribs”“Looking for Tapas, and yummy dishes?”“Tacos and margaritas,  what more could you ask for”“Food was very good, in particular the ribs in mole glaze and the rib of beef.”",0,"#1,458",Phone Not Found,Pricing Not Found,Cuisine Type Not Found,Open Hours Not Found
Sufi Restaurant,"70 Askew Road, London W12 9BJ England",179,"#1,463",+44 20 8834 4888,$$ - $$$,"[' Barbecue', ' Grill', ' Middle Eastern']",12:30 PM - 10:30 PM
The Dog & Duck,"18 Bateman Street, London W1D 3AJ England",437,"#1,460",+44 20 7494 0697,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:30 PM
Mosaic,"60 Upper Thames Street The Westin London City, London EC4V 3AD England",56,#465,+44 20-3988 014,$$ - $$$,"[' International', ' Pub', ' Healthy']",6:30 AM - 10:00 PM
Fischer's,"50 Marylebone High Street, London W1U 5HN England","1,081","#1,461",+44 20 7466 5501,$$ - $$$,"[' German', ' Austrian', ' European']",7:30 AM - 10:00 PM
28 Church Row,"28 Church Row, London NW3 6UP England",180,"#1,465",+44 20 7993 2062,$$ - $$$,"[' Italian', ' European', ' Spanish']",12:00 PM - 3:00 PM
All Bar One Tower of London,"16 Byward Street, London EC3R 5BA England",477,"#1,465",+44 20 7553 0301,$$ - $$$,"[' International', ' European', ' Thai']",12:00 PM - 9:00 PM
Pizza Pilgrims Camden,"40-42 Parkway Camden Town, London NW1 7AH England",97,"#1,469",+44 20 8167 8366,$$ - $$$,"[' Italian', ' Pizza', ' Neapolitan']",12:00 PM - 9:00 PM
La Poule au Pot,"231 Ebury Street, London SW1W 8UT England",838,"#1,462",+44 20 7730 7763,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",12:00 PM - 11:00 PM
Andina Spitalfields,"1 Redchurch Street Spitalfields, London E2 7DJ England","1,190","#1,457",+44 20 3965 3482,$$ - $$$,"[' Peruvian', ' Healthy', ' South American']",11:00 AM - 4:00 PM
Cabana Covent Garden,"7 Central St. Giles Piazza St Giles High Street, London WC2H 8AB England","1,437","#1,472",+44 20 7632 9630,$$ - $$$,"[' Brazilian', ' Barbecue', ' Vegetarian Friendly']",12:00 PM - 8:00 PM
Chourangi,"3 Old Quebec Street, London W1H 7AF England",115,"#2,364",+44 20 3582 2710,$$ - $$$,"[' Indian', ' Grill', ' Vegetarian Friendly']",12:30 PM - 10:00 PM
Shah Tandoori,"159 Drummond Street, London NW1 2PB England",357,#950,+44 20 7383 5677,$$ - $$$,"[' Indian', ' Asian', ' Street Food']",12:00 PM - 12:00 AM
All Bar One Charing Cross,"6 Villiers Street, London WC2N 6NQ England",456,"#1,471",+44 20 7839 9239,$$ - $$$,"[' Bar', ' International', ' British']",10:00 AM - 11:00 PM
The Piano Works Farringdon,"113-117 Farringdon Road Corner of Ray Street, London EC1R 3BX England","1,315","#1,490", See all hours,$$ - $$$,"[' Bar', ' British']",5:00 PM - 1:00 AM
The Porterhouse Covent Garden,"21-22 Maiden Lane, London WC2E 7NA England",831,"#1,474",+44 20 7379 7917,$$ - $$$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:00 PM
"The Latymers, Hammersmith","157 Hammersmith Road, London W6 8BS England",326,"#1,474",+44 20 8748 3446,$$ - $$$,"[' Bar', ' Asian', ' Thai']",12:00 PM - 10:00 PM
Bean Extract,"Lee Street Bean Extract , Haggerston Overground Station,, London E8 4DY England",62,"#1,478",7:00 AM - 2:00 PM,$$ - $$$,"[' British', ' Vegan Options']",7:00 AM - 2:00 PM
Cafe Ishaq,"48 Kennington Road Lambeth, London SE1 7BL England",256,"#1,480",+44 20 7928 1365,$$ - $$$,"[' Indian', ' Asian', ' Balti']",5:30 PM - 11:30 PM
The Enterprise,"35 Walton Street South Kensington, London SW3 2HU England",255,"#1,481",+44 20 7584 3148,$$ - $$$,"[' Bar', ' European', ' British']",12:00 PM - 10:00 PM
The Camel Public House,"277 Globe Road, London E2 0JD England",126,"#1,484",+44 20 3620 2333,$,"[' Bar', ' British', ' Pub']",12:00 PM - 10:30 PM
Wahaca Waterloo,"119 Waterloo Road Bishops, London SE1 8UL England","1,087","#1,482",+44 20 3951 9748,$$ - $$$,"[' Mexican', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:00 PM
ASK Italian,"41-43 Spring Street Paddington, London W2 1JA England","1,236","#1,483",+44 20 3302 0915,$$ - $$$,"[' Italian', ' Pizza', ' Vegetarian Friendly']",11:30 AM - 9:00 PM
Barbounia,"68 Regent Street At Hotel Café Royal, London W1B 4DY England",33,"#3,005",+44 20 4571 6745,$$$$,"[' Italian', ' Mediterranean', ' Vegetarian Friendly']",12:00 PM - 10:00 PM
Heist Bank,"5 North Wharf Paddington, London W2 1LA England",187,"#1,485",+44 20 7723 8080,$$ - $$$,"[' Bar', ' Pizza', ' British']",12:00 PM - 8:00 PM
Honey and Smoke,"216 Great Portland Street Fitzrovia, London W1W 5QW England",359,"#1,488",+44 20 7388 6175,$$ - $$$,"[' Mediterranean', ' Middle Eastern', ' Israeli']",10:00 AM - 4:00 PM
Côte Ealing,"9 The Green Ealing, London W5 5DA England",493,"#1,487",+44 20 8579 3115,$$ - $$$,"[' French', ' European', ' Vegetarian Friendly']",9:00 AM - 10:00 PM
Harana,"118 Uxbridge Road, London W12 8AA England",169,"#1,489",+44 20 8749 1052,$,"[' Mediterranean', ' Barbecue', ' Turkish']",8:00 AM - 4:00 AM
Boxpark Shoreditch,"2-10 Bethnal Green Road Shoreditch, London E1 6GY England",671,"#1,477",+44 20 7186 8800,$$ - $$$,"[' Fast Food', ' Fusion', ' Street Food']",11:00 AM - 10:30 PM
Kibako London,"110 Great Portland Street, London W1W 6PQ England",4,"#9,901",+44 20 7637 4198,Pricing Not Found,Cuisine Type Not Found,12:00 PM - 2:00 PM
Forty Dean Street,"40 Dean Street, London W1D 4PX England",688,"#1,486",+44 20 7734 1853,$$ - $$$,"[' Italian', ' Vegetarian Friendly', ' Vegan Options']",12:00 PM - 10:30 PM
Busaba St Christopher's Place,"The Phoenix 8-13 Bird Street, London W1U 1BU England","1,644","#1,491",+44 20 7518 8080,$$ - $$$,"[' Asian', ' Thai', ' Vegetarian Friendly']",11:00 AM - 10:00 PM
The English Grill,"39 Buckingham Palace Road The Rubens at the Palace, London SW1W 0PS England",137,"#1,498",+442078346600,$$$$,"[' British', ' Grill', ' Vegetarian Friendly']",6:30 AM - 10:30 AM
Côte St Martin's Lane,"50-51 St. Martin's Lane Covent Garden, London WC2N 4EA England","1,735","#1,493",+44 20 7379 9747,$$ - $$$,"[' French', ' Vegetarian Friendly', ' Vegan Options']",9:00 AM - 11:00 PM
The Coal Shed,"4 Crown Square One Tower Bridge, London SE1 2SE England",513,"#1,495",+44 20 3384 7272,$$ - $$$,"[' Steakhouse', ' Seafood', ' European']",12:00 PM - 6:00 PM
The Orchard Room,"22-28 Broadway Conrad London St James, London SW1H 0BH England",301,#41,+44 20 3301 8080,$$$$,"[' Bar', ' International', ' British']",12:30 PM - 5:00 PM
Angoletto Trattoria,"50 Battersea Park Road, London SW11 4JP England",215,"#1,500",+44 20 7978 2231,$$ - $$$,"[' Italian', ' Pizza', ' Mediterranean']",12:00 PM - 11:00 PM
Nissi Mezedakia Restaurant,"62 Aldermans Hill, London N13 4PP England",375,"#1,501",+44 20 8882 3170,$$ - $$$,"[' Mediterranean', ' Greek', ' Vegetarian Friendly']",Open Hours Not Found
Burger & Lobster - Bond Street,"26 Binney Street Mayfair, London W1K 5BW England",369,"#1,502",+44 20 3637 5972,$$ - $$$,"[' Bar', ' Seafood', ' Grill']",12:00 PM - 10:00 PM
